# ARK Zero-Parameter Inverse Solver V5.4 (Final)
# alpha = 4pi/3 = 4.188790 (DERIVED)
# Free parameters: 0
# Upsilon_disk = 0.5, Upsilon_bulge = 0.7
# Global r = 0.8922, Global RMS = 34.8 km/s
# chi2/N (composite) = 7.6581
#
# Galaxy                Rad     Vobs     errV  Vbar_meas  Vbar_pred     kappa     Vgas    Vdisk     Vbul
#                       kpc     km/s     km/s       km/s       km/s               km/s     km/s     km/s
  CamB                0.160     1.99     1.50      3.239      1.359    1.0000     1.86     3.75     0.00
  CamB                0.410     4.84     1.50      7.926      3.288    1.0000     4.24     9.47     0.00
  CamB                0.570     6.79     1.50     10.031      4.588    1.0000     5.61    11.76     0.00
  CamB                0.730     8.87     1.50     11.830      5.946    1.0000     6.77    13.72     0.00
  CamB                0.900    10.90     1.50     13.034      7.223    1.0000     7.77    14.80     0.00
  CamB                1.060    12.90     1.50     13.688      8.428    1.0000     8.44    15.24     0.00
  CamB                1.220    14.70     1.50     13.741      9.431    1.0000     8.64    15.11     0.00
  CamB                1.470    16.80     1.50     13.845     10.386    1.0000     8.08    15.90     0.00
  CamB                1.790    20.10     1.50     12.606     11.550    1.0000     6.91    14.91     0.00
  D512-2              0.960    22.90     2.71     11.265     10.789    0.3971     4.08    14.85     0.00
  D512-2              1.920    33.50     2.71     16.238     17.242    0.4615     6.24    21.20     0.00
  D512-2              2.880    37.20     4.19     16.336     21.563    0.5768     7.45    20.56     0.00
  D512-2              3.830    35.90     5.98     16.342     23.918    0.7775     8.09    20.08     0.00
  D564-8              0.510     8.54     1.53      5.680      4.690    0.5446     3.47     6.36     0.00
  D564-8              1.020    15.10     1.41      8.118      8.607    0.5875     5.33     8.66     0.00
  D564-8              1.530    19.80     1.80      9.028     11.937    0.6632     6.34     9.09     0.00
  D564-8              2.040    21.90     1.82      9.238     14.177    0.7829     6.86     8.75     0.00
  D564-8              2.560    24.00     1.89      9.115     17.025    0.9941     7.05     8.17     0.00
  D564-8              3.070    25.00     2.05      8.878     17.010    1.0000     7.04     7.65     0.00
  D631-7              0.450     8.41     1.58     10.975      6.087    1.0000     8.40     9.99     0.00
  D631-7              0.900    17.80     2.22     17.406     12.833    1.0000    13.51    15.52     0.00
  D631-7              1.350    26.00     2.35     22.235     18.615    1.0000    16.70    20.76     0.00
  D631-7              1.800    30.90     2.22     24.058     21.925    1.0000    18.72    21.37     0.00
  D631-7              2.250    34.70     1.82     24.381     24.377    1.0000    19.90    19.92     0.00
  D631-7              2.690    38.80     1.81     24.510     26.961    1.0000    20.61    18.76     0.00
  D631-7              3.140    42.50     1.57     24.092     29.161    1.0000    20.73    17.36     0.00
  D631-7              3.590    45.60     1.59     23.621     30.848    1.0000    20.61    16.32     0.00
  D631-7              4.040    48.80     1.83     23.097     32.490    1.0000    20.38    15.37     0.00
  D631-7              4.490    51.80     1.91     22.383     33.865    1.0000    19.90    14.49     0.00
  D631-7              4.940    54.80     2.19     21.717     35.083    1.0000    19.43    13.72     0.00
  D631-7              5.390    56.60     2.73     20.975     35.375    1.0000    18.84    13.04     0.00
  D631-7              5.840    58.40     3.27     20.262     35.516    1.0000    18.25    12.45     0.00
  D631-7              6.290    58.50     3.95     19.562     34.501    1.0000    17.65    11.93     0.00
  D631-7              6.740    57.70     4.07     18.893     32.913    1.0000    17.06    11.48     0.00
  D631-7              7.190    57.30     3.94     18.239     31.523    1.0000    16.47    11.08     0.00
  DDO064              0.100     6.29     4.62      0.802      4.583    1.0000    -1.13     1.96     0.00
  DDO064              0.300    13.90     4.62      3.729     10.075    1.0000    -2.45     6.31     0.00
  DDO064              0.490    15.60     4.62      6.808     11.242    1.0000    -0.64     9.67     0.00
  DDO064              0.690    18.40     4.62     10.153     13.187    1.0000     2.49    13.92     0.00
  DDO064              0.890    22.50     4.62     10.882     16.025    1.0000     1.87    15.16     0.00
  DDO064              1.090    26.50     4.62     12.623     18.732    1.0000     4.97    16.41     0.00
  DDO064              1.290    35.30     4.62     15.383     24.684    1.0000     9.29    17.34     0.00
  DDO064              1.480    40.50     4.62     18.806     27.911    1.0000    13.62    18.34     0.00
  DDO064              1.680    44.20     4.89     21.147     29.889    1.0000    16.26    19.12     0.00
  DDO064              1.880    46.30     4.62     22.819     30.621    1.0000    18.16    19.54     0.00
  DDO064              2.080    46.40     4.62     23.836     29.946    1.0000    19.64    19.10     0.00
  DDO064              2.270    46.30     4.62     24.145     29.152    1.0000    20.17    18.77     0.00
  DDO064              2.370    46.40     6.73     24.436     28.819    1.0000    20.59    18.61     0.00
  DDO064              2.980    46.90     8.65     25.290     26.375    1.0000    22.17    17.21     0.00
  DDO154              0.490    13.80     1.60      9.474     10.264    0.9968     3.74    12.31     0.00
  DDO154              0.990    21.60     0.80     12.708     15.941    1.0000     7.46    14.55     0.00
  DDO154              1.480    28.90     0.70     14.213     21.068    1.0000    10.87    12.95     0.00
  DDO154              1.970    34.30     0.50     15.621     24.618    1.0000    13.32    11.54     0.00
  DDO154              2.470    38.20     0.40     16.431     26.908    1.0000    14.77    10.18     0.00
  DDO154              2.960    42.00     0.20     17.447     28.955    1.0000    16.20     9.16     0.00
  DDO154              3.460    44.60     0.20     18.568     29.965    1.0000    17.60     8.37     0.00
  DDO154              3.950    46.30     0.20     18.734     30.215    1.0000    17.91     7.77     0.00
  DDO154              4.440    47.40     0.30     18.224     29.916    1.0000    17.48     7.29     0.00
  DDO154              4.940    48.20     0.60     17.617     29.245    1.0000    16.93     6.89     0.00
  DDO154              5.430    47.40     0.70     16.926     27.524    1.0000    16.28     6.55     0.00
  DDO154              5.920    45.50     1.30     16.254     25.188    1.0000    15.64     6.26     0.00
