name,N,v_max,f_bul,f_gas,log_SBdisk,kappa_outer,kappa_center,kappa_mean,F_median,F_mean,F_inner,F_outer,mean_resid,rms_resid,corr
CamB,9,20.1,0.0,0.20276119777662893,1.0748976703249968,0.7067775463559519,0.45627754230774165,0.5757842488356754,0.5,0.5,0.5,0.5,-3.1372640586110316,3.5905289978575317,0.8836681592665908
D512-2,4,37.2,0.0,0.1014072595498989,0.8506462351830665,0.9494365281514984,0.9303266042176127,0.9459694791621784,0.5,0.5,0.5,0.5,12.918947104217473,13.334519367453268,nan
D564-8,6,25.0,0.0,0.34956980032231005,0.3471347829100198,0.8525741852630344,0.7476043313752903,0.8085239575199296,0.5,0.5,0.5,0.5,6.312668462791232,6.365585046923463,0.9918976069581928
D631-7,16,58.5,0.0,0.5813146610675102,0.6792331602743954,0.9204237884944337,0.4155253685703545,0.6455692483548469,0.5,0.5,0.5,0.5,7.30293421915803,10.886987222028218,0.5827699822152828
DDO064,14,46.9,0.0,0.30004836286551884,1.098404085681175,0.8470372542693241,0.3872891304412564,0.5907269995989688,0.5,0.5,0.5,0.5,11.156461580484292,11.923683269636554,0.9622318663508806
DDO154,12,48.2,0.0,0.6502015790063557,0.5187019054648524,0.9088774752681762,0.5185611149764511,0.7017967554557384,0.5,0.5,0.5,0.5,10.309159002630762,11.20173364502132,0.880904955512281
DDO161,31,67.5,0.0,0.5996565820667406,0.859045874548512,0.964544251524567,0.26944646012587575,0.6213458704238265,0.5,0.5,0.5,0.5,3.3950267293952465,8.48669289422801,0.8891812683366095
DDO168,10,55.0,0.0,0.6382753520685446,0.8320829249507451,0.8491468572227356,0.5755603258230767,0.7049955597941434,0.5,0.5,0.5,0.5,5.535725638836648,7.2380066794440765,0.8359935211291432
DDO170,8,62.2,0.0,0.5688593529682999,0.37579420920526235,0.8763051775378106,0.6556772338715604,0.7718234803092908,0.5,0.5,0.5,0.5,12.196565926931992,12.82344067637507,0.6637641065345626
ESO079-G014,15,178.0,0.0,0.03038481573817767,2.091089859396779,0.8530087883125443,0.35133318460246915,0.5660021863973376,0.5,0.5,0.5,0.5,11.847091527231802,19.940229477254732,0.8988745632977209
ESO116-G012,15,112.0,0.0,0.13747499593747886,1.7728558621381258,0.9106404678072075,0.41872617874862667,0.6411571075162047,0.5,0.5,0.5,0.5,14.700587052312878,17.188042879225836,0.9231529587458678
ESO444-G084,7,63.1,0.0,0.5794499275569132,0.8885538857362553,0.790059666645419,0.5801736972559632,0.6918765858445076,0.5,0.5,0.5,0.5,21.349880409636523,22.10342884608447,0.9264288780319403
ESO563-G021,30,321.0,0.0,0.02558929704312729,2.437247292808752,0.9775875285135996,0.28472226044757565,0.6603177639998712,0.5,0.5,0.5,0.5,21.24149883957344,39.437617106870775,0.9459629009958685
F561-1,6,50.4,0.0,0.1518487252765154,1.2219790184215833,0.8770988325632757,0.7555123795004536,0.8260811097281886,0.5,0.5,0.5,0.5,1.6663313979909176,7.338116570041583,0.3376110677301468
F563-1,17,112.5,0.0,0.36149451868676485,0.8280150642239769,0.9580248690883509,0.4151827137893115,0.6587189845730872,0.5,0.5,0.5,0.5,44.31004874473663,49.29299820715477,0.29279419540769547
F563-V1,6,29.5,0.0,0.29690821051946603,0.7977290652970024,0.8750985826694813,0.7429278069875083,0.8196185869091913,0.5,0.5,0.5,0.5,0.826320888415637,5.544452269994264,0.3779432424637935
F563-V2,10,118.0,0.0,0.2232998877928726,1.4320388084546212,0.8313955924284389,0.4322966379721227,0.617853872479802,0.5,0.5,0.5,0.5,24.322467608754458,29.132982559695648,0.6154871473940743
F565-V2,7,83.1,0.0,0.4482547826363895,0.5743620327718135,0.8274386418521121,0.6640270516563791,0.7522635735251084,0.5,0.5,0.5,0.5,23.24367786031625,23.613677423258366,0.9149338232219787
F567-2,5,52.2,0.0,0.15853144832996308,0.9339931638312423,0.8987707045509882,0.8457337000975663,0.8804117269726343,0.5,0.5,0.5,0.5,14.79799796451725,15.895665217914113,-0.12667637712889865
F568-1,12,142.0,0.0,0.16754389010617998,1.4031634335301735,0.8146833962511084,0.4310840595484966,0.6042607613562572,0.5,0.5,0.5,0.5,44.577344913818486,47.34206522840961,0.9443506333362532
F568-3,18,120.0,0.0,0.11606436763723028,1.3920517726020207,0.8433086991212095,0.29455302268814343,0.5212833996895816,0.5,0.5,0.5,0.5,18.196999895140543,20.799837190797348,0.9471246837482444
F568-V1,15,118.0,0.0,0.13092753807150243,1.341773574350278,0.8508985355384593,0.417666200558891,0.6083698774174677,0.5,0.5,0.5,0.5,48.96494060602204,51.42818162424173,0.9722337868797626
F571-8,13,144.0,0.0,0.012609526765680053,2.4217135833486116,0.7738453361543223,0.35795334595009587,0.5349111645721601,0.5,0.5,0.5,0.5,13.878740984730568,40.03614461708437,-0.05929556140567779
