name,N,v_max,f_bul,f_gas,log_SBdisk,kappa_outer,kappa_center,kappa_mean,F_median,F_mean,F_inner,F_outer,mean_resid,rms_resid,corr
CamB,9,20.1,0.0,0.20276119777662893,1.0748976703249968,0.7067775463559519,0.45627754230774165,0.5757842488356754,0.4999999999999982,0.49999999999999845,0.4999999999999999,0.49999999999999734,-3.137264058611056,3.590528997857549,0.8836681592665907
D512-2,4,37.2,0.0,0.1014072595498989,0.8506462351830665,0.9494365281514984,0.9303266042176127,0.9459694791621784,0.49999999999999983,0.49999999999999983,0.4999999999999999,0.4999999999999998,12.918947104217466,13.334519367453264,nan
D564-8,6,25.0,0.0,0.34956980032231005,0.3471347829100198,0.8525741852630344,0.7476043313752903,0.8085239575199296,0.4999999999999994,0.4999999999999994,0.4999999999999998,0.4999999999999992,6.312668462791227,6.365585046923458,0.9918976069581928
D631-7,16,58.5,0.0,0.5813146610675102,0.6792331602743954,0.9204237884944337,0.4155253685703545,0.6455692483548469,0.4999999999999991,0.4999999999999992,0.49999999999999983,0.49999999999999895,7.302934219157992,10.886987222028186,0.5827699822152825
DDO064,14,46.9,0.0,0.30004836286551884,1.098404085681175,0.8470372542693241,0.3872891304412564,0.5907269995989688,0.4999999999999955,0.49999999999999567,0.49999999999999944,0.49999999999999345,11.156461580484097,11.92368326963634,0.9622318663508801
DDO154,12,48.2,0.0,0.6502015790063557,0.5187019054648524,0.9088774752681762,0.5185611149764511,0.7017967554557384,0.499999999999999,0.49999999999999917,0.4999999999999998,0.499999999999999,10.309159002630738,11.201733645021294,0.8809049555122812
DDO161,31,67.5,0.0,0.5996565820667406,0.859045874548512,0.964544251524567,0.26944646012587575,0.6213458704238265,0.4999999999999996,0.49999999999999967,0.49999999999999956,0.4999999999999997,3.395026729395241,8.486692894227987,0.889181268336609
DDO168,10,55.0,0.0,0.6382753520685446,0.8320829249507451,0.8491468572227356,0.5755603258230767,0.7049955597941434,0.49999999999999833,0.49999999999999867,0.49999999999999967,0.4999999999999979,5.535725638836592,7.238006679444023,0.8359935211291429
DDO170,8,62.2,0.0,0.5688593529682999,0.37579420920526235,0.8763051775378106,0.6556772338715604,0.7718234803092908,0.49999999999999983,0.4999999999999999,0.4999999999999999,0.49999999999999983,12.196565926931992,12.823440676375068,0.6637641065345627
ESO079-G014,15,178.0,0.0,0.03038481573817767,2.091089859396779,0.8530087883125443,0.35133318460246915,0.5660021863973376,0.49999999999999956,0.4999999999999995,0.49999999999999983,0.49999999999999956,11.847091527231763,19.940229477254686,0.8988745632977209
ESO116-G012,15,112.0,0.0,0.13747499593747886,1.7728558621381258,0.9106404678072075,0.41872617874862667,0.6411571075162047,0.499999999999999,0.4999999999999991,0.4999999999999996,0.4999999999999991,14.700587052312802,17.18804287922576,0.9231529587458674
ESO444-G084,7,63.1,0.0,0.5794499275569132,0.8885538857362553,0.790059666645419,0.5801736972559632,0.6918765858445076,0.49999999999999856,0.4999999999999986,0.49999999999999933,0.4999999999999989,21.34988040963646,22.103428846084405,0.92642887803194
ESO563-G021,30,321.0,0.0,0.02558929704312729,2.437247292808752,0.9775875285135996,0.28472226044757565,0.6603177639998712,0.4999999999999998,0.4999999999999998,0.49999999999999983,0.49999999999999994,21.241498839573413,39.43761710687078,0.9459629009958685
F561-1,6,50.4,0.0,0.1518487252765154,1.2219790184215833,0.8770988325632757,0.7555123795004536,0.8260811097281886,0.4999999999999999,0.49999999999999983,0.4999999999999999,0.49999999999999983,1.666331397990915,7.338116570041584,0.33761106773014643
F563-1,17,112.5,0.0,0.36149451868676485,0.8280150642239769,0.9580248690883509,0.4151827137893115,0.6587189845730872,0.4999999999999993,0.4999999999999987,0.4999999999999993,0.4999999999999998,44.31004874473644,49.292998207154525,0.29279419540770146
F563-V1,6,29.5,0.0,0.29690821051946603,0.7977290652970024,0.8750985826694813,0.7429278069875083,0.8196185869091913,0.4999999999999999,0.49999999999999994,0.5,0.4999999999999999,0.826320888415632,5.544452269994264,0.3779432424637933
F563-V2,10,118.0,0.0,0.2232998877928726,1.4320388084546212,0.8313955924284389,0.4322966379721227,0.617853872479802,0.4999999999999984,0.4999999999999984,0.49999999999999967,0.49999999999999756,24.322467608754312,29.132982559695517,0.6154871473940736
F565-V2,7,83.1,0.0,0.4482547826363895,0.5743620327718135,0.8274386418521121,0.6640270516563791,0.7522635735251084,0.49999999999999967,0.49999999999999967,0.4999999999999999,0.4999999999999996,23.243677860316243,23.613677423258356,0.9149338232219786
F567-2,5,52.2,0.0,0.15853144832996308,0.9339931638312423,0.8987707045509882,0.8457337000975663,0.8804117269726343,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,14.79799796451725,15.895665217914113,-0.12667637712889865
F568-1,12,142.0,0.0,0.16754389010617998,1.4031634335301735,0.8146833962511084,0.4310840595484966,0.6042607613562572,0.49999999999999933,0.4999999999999994,0.4999999999999999,0.49999999999999944,44.57734491381842,47.34206522840954,0.9443506333362532
F568-3,18,120.0,0.0,0.11606436763723028,1.3920517726020207,0.8433086991212095,0.29455302268814343,0.5212833996895816,0.49999999999999956,0.4999999999999995,0.49999999999999994,0.4999999999999998,18.19699989514048,20.799837190797266,0.9471246837482454
F568-V1,15,118.0,0.0,0.13092753807150243,1.341773574350278,0.8508985355384593,0.417666200558891,0.6083698774174677,0.49999999999999944,0.49999999999999944,0.49999999999999983,0.4999999999999997,48.96494060602201,51.4281816242417,0.9722337868797624
F571-8,13,144.0,0.0,0.012609526765680053,2.4217135833486116,0.7738453361543223,0.35795334595009587,0.5349111645721601,0.4999999999999995,0.4999999999999995,0.4999999999999999,0.49999999999999967,13.878740984730493,40.036144617084325,-0.05929556140567845
F571-V1,7,84.3,0.0,0.3493087646569894,0.8466463285771175,0.8632689364120967,0.6653797673864181,0.7732547638197157,0.49999999999999983,0.4999999999999999,0.4999999999999999,0.49999999999999983,20.57202172870133,21.015675469496564,0.7986447804475557
F574-1,14,99.7,0.0,0.08861637688974486,1.3752715924371377,0.9192626658107605,0.46680398251960353,0.6800867004910431,0.49999999999999944,0.49999999999999944,0.4999999999999999,0.49999999999999944,19.650617835809673,22.08159771513543,0.7055951476835571
F574-2,5,40.0,0.0,0.21649855970628087,0.9311526385232933,0.8871859775488726,0.842878018256885,0.8719125295937078,0.5,0.5,0.5,0.5,-0.7200722080448094,5.4343705408367295,0.92537827755498
F579-V1,14,114.0,0.0,0.05989994728916185,1.6466067509948425,0.901269116387087,0.4823248196713723,0.6765001699805583,0.49999999999999933,0.49999999999999944,0.4999999999999995,0.4999999999999998,34.406061499538694,34.73686104425482,0.9367476562442923
F583-1,25,86.9,0.0,0.18450076806553425,1.0019405420931753,0.8039848647195604,0.20054429992716166,0.46868926232367947,0.49999999999999933,0.49999999999999944,0.49999999999999983,0.49999999999999956,20.475782151761774,25.280422124929114,0.7465823476245802
