i,name,fold,alpha,logSB,resid_new,resid_base,rms_new,rms_base
9,ESO079-G014,0,600.0,2.091089859396779,-0.851000058436454,-0.46110355244057744,12.262098665120991,12.169082704481749
12,ESO563-G021,0,600.0,2.437247292808752,-7.055981144893449,-0.31510547317840676,25.581732631814106,25.24082127904698
15,F563-V1,0,600.0,0.7977290652970024,-1.0922402194871512,-1.0867668307444185,5.974801422116607,5.971451379117801
16,F563-V2,0,600.0,1.4320388084546212,14.252527335368788,14.435111946566188,21.710996278536935,21.79370513466784
18,F567-2,0,600.0,0.9339931638312423,12.133040767960583,12.165925866214913,13.625308393243145,13.648361689488766
19,F568-1,0,600.0,1.4031634335301735,31.79937202892016,32.14693914505667,33.472035379234704,33.838053003800084
24,F574-1,0,600.0,1.3752715924371377,11.928300505170919,12.068346024233024,15.111805302717462,15.209496320521815
29,IC2574,0,600.0,0.7222996421499358,0.40313860905990095,0.4121574835479793,4.303957838147751,4.304089374241898
30,IC4202,0,600.0,2.1135234705963843,-16.872393774474283,-13.315003194619049,28.585376070611375,26.375836135192632
31,KK98-251,0,600.0,0.6536947953150819,-0.6222563227105902,-0.620515456885103,1.684547280893823,1.6830520752552431
41,NGC1090,0,600.0,2.2196676553459023,-12.887263050164808,-11.278198857387268,18.377706771928896,17.345857695544062
42,NGC1705,0,600.0,1.8025753407759177,17.656823718225475,17.862291230537974,18.286147284844063,18.48871348874834
45,NGC2683,0,600.0,2.0887472160536618,6.320152848804464,10.340289790827004,13.585904545485883,16.02163312009377
51,NGC2998,0,600.0,2.658510383343011,2.8575310090015784,7.626002618669333,18.33602049901287,17.634722458552016
55,NGC3726,0,600.0,1.905059579854848,-16.339469078760246,-15.354950341451989,16.940259700853396,16.02473334910349
56,NGC3741,0,600.0,0.798650645445269,7.631175170798523,7.641535074912872,9.096062090663349,9.106942811799493
60,NGC3917,0,600.0,1.7717776348985803,0.2401986694496987,0.6238397527493493,11.305195638765438,11.186362352977065
65,NGC4010,0,600.0,1.9136858402267791,-7.823526337399033,-7.611354797538234,12.485489849053572,12.308353822703614
66,NGC4013,0,600.0,1.7823292689968369,-3.0245313973805446,-1.3766759978038359,16.046936652360692,16.10651111011399
78,NGC4559,0,600.0,1.7707783961691477,-7.333908487466409,-6.819726078062879,14.334179888289214,14.12905751766831
101,UGC01230,0,600.0,1.312811826212088,22.17715097910112,22.596391559871734,24.96731196081632,25.300289576699218
109,UGC02953,0,600.0,2.938639932916537,-12.5577199550833,3.8631102547502287,23.69083864668907,25.504912210575352
112,UGC03580,0,600.0,2.209796992934814,-6.151271462239171,-5.687528602634317,28.765327608787846,28.967428693979304
113,UGC04278,0,600.0,1.2916707089666013,3.7122004949513925,3.7332896839196277,11.372254604914366,11.380640620137532
117,UGC04499,0,600.0,1.1904017400189884,4.5834452428767225,4.643192576861951,6.915275903661838,6.938038985092521
126,UGC05918,0,600.0,0.7639625099158301,9.097208947754817,9.108983010773725,9.76656546557115,9.775658815453184
127,UGC05986,0,600.0,1.795184589682424,12.3278218211882,12.59741086261449,15.08172868723162,15.293769188192375
128,UGC05999,0,600.0,0.8329876500120023,20.56340552820384,20.742801523506785,22.07175270690024,22.213885060636787
138,UGC06923,0,600.0,1.6175245348862923,1.6052858222969832,1.6948777306809035,5.342034923727619,5.342147344512681
139,UGC06930,0,600.0,1.3817691897418196,5.450017248162675,5.728343703996614,15.190640455144422,15.22584167321262
141,UGC06983,0,600.0,1.2539527708079699,12.947896223170257,13.243262584925612,18.15873689201868,18.334086287049065
145,UGC07232,0,600.0,1.768138412231145,6.563931658053471,6.572733079038517,6.709068458001642,6.716858990946354
155,UGC07866,0,600.0,1.0353153598636597,2.4817630390141576,2.4856175053458407,3.341792509166202,3.343266482606951
156,UGC08286,0,600.0,1.206730660374238,13.354331121030233,13.466998546526831,14.988867798537756,15.07773049917402
167,UGC11820,0,600.0,1.5125065160254885,9.414015436492496,9.498488322986901,10.481949219457267,10.54999260045634
2,D564-8,1,550.0,0.3471347829100198,4.845546117896126,4.847258033494688,4.874021106775779,4.87572161747676
4,DDO064,1,550.0,1.098404085681175,5.6054290937247835,5.613498316469152,6.130386401286618,6.13754344864544
6,DDO161,1,550.0,0.859045874548512,-2.0754032581677038,-2.052850611129498,5.708276371457245,5.704863095671738
11,ESO444-G084,1,550.0,0.8885538857362553,16.746616562355594,16.78975715911922,17.115513651020297,17.163265820804604
22,F571-8,1,550.0,2.4217135833486116,3.1483417694248104,3.4612223336126817,31.042941129625184,31.291039044417094
26,F579-V1,1,550.0,1.6466067509948425,24.59450085187693,25.037262112818954,25.453744948268994,25.83516755756426
27,F583-1,1,550.0,1.0019405420931753,13.34958367786833,13.384994404354472,17.720927508775535,17.75311717626448
32,NGC0024,1,550.0,2.1249732461379747,18.496524867472147,18.723251725113318,20.63430921783279,20.869629512829782
36,NGC0289,1,550.0,2.104805659173203,2.153519026493351,5.417384954314677,21.69244984649196,23.012340944939425
38,NGC0801,1,550.0,2.8979847330103183,-22.3633297966299,-16.058694844131082,24.287473841748284,18.245062377981707
67,NGC4051,1,550.0,2.2560748635819023,-23.568222995804017,-22.729628881403,32.960563582749245,32.21004129187697
68,NGC4068,1,550.0,1.2925145030700842,0.9938892991654648,0.9980790463192994,1.6745384263622318,1.6747842867599194
69,NGC4085,1,550.0,2.442000190191261,-25.913445197788835,-25.61300470613354,27.297584561265115,26.968074603319497
75,NGC4214,1,550.0,1.8358173542934728,12.585838813597967,12.766784953273678,13.470538643702223,13.648226869900778
76,NGC4217,1,550.0,1.6404134341967942,-28.76812474545501,-27.21712024962726,32.894548269202474,31.789196014678666
82,NGC5371,1,550.0,2.490057788921877,-38.78541025136529,-32.73774916777937,45.30059065319565,39.30937209509454
85,NGC5985,1,550.0,2.0549622344364322,44.192150196564235,51.05173882490053,52.704490266245074,57.68223046788631
90,NGC6789,1,550.0,1.7698202577635922,16.566986105625713,16.58920947256893,16.64145916259295,16.664727096792266
93,NGC7793,1,550.0,2.5041699011311462,-0.09760803525995669,0.10460110512609033,11.849091325810432,11.936171414665385
